ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
3.27,9.08,-1.0,0.016362,0.051269,-0.055632,21.875,-9.75,25.5625,1,2024-11-14,11:04:35.514904
3.21,9.08,-0.99,0.01309,0.022907,-0.001091,21.5,-9.5,26.375,1,2024-11-14,11:04:35.716805
3.26,9.11,-1.02,-0.006545,-0.022907,0.023998,21.1875,-9.75,25.25,1,2024-11-14,11:04:36.016063
3.25,9.1,-1.16,-0.001091,0.0,0.008727,22.1875,-9.75,26.0625,1,2024-11-14,11:04:36.304010
3.32,9.09,-1.07,-0.016362,-0.034907,0.016362,21.5,-9.5,26.0625,1,2024-11-14,11:04:36.573121
3.4,9.07,-0.96,-0.028362,-0.059996,0.044724,21.5,-10.1875,25.25,1,2024-11-14,11:04:36.760052
3.4,9.05,-0.98,-0.022907,-0.043633,0.021817,22.1875,-10.5625,25.25,1,2024-11-14,11:04:36.761051
3.5,9.04,-0.99,-0.010908,-0.044724,0.021817,21.5,-11.5625,25.25,1,2024-11-14,11:04:36.977942
3.48,9.05,-0.97,-0.018544,-0.023998,0.019635,21.875,-10.875,24.0625,1,2024-11-14,11:04:37.163113
3.49,9.05,-0.98,-0.004363,-0.032725,0.003272,22.1875,-11.25,25.25,1,2024-11-14,11:04:37.487918
3.55,9.04,-0.95,-0.009817,-0.050178,0.025089,22.5625,-10.875,23.6875,1,2024-11-14,11:04:37.731918
3.56,9.03,-0.91,-0.006545,0.007636,0.0,21.875,-11.5625,24.0625,1,2024-11-14,11:04:37.904490
3.48,9.06,-0.95,0.031634,0.077449,-0.045815,22.5625,-11.25,24.875,1,2024-11-14,11:04:38.074475
3.39,9.05,-0.98,0.027271,0.083994,-0.044724,21.875,-11.25,25.25,1,2024-11-14,11:04:38.493249
3.36,9.07,-0.95,0.027271,0.066541,-0.045815,21.875,-10.875,26.0625,1,2024-11-14,11:04:38.694732
3.25,9.15,-1.06,0.031634,0.080721,-0.043633,21.1875,-9.75,25.25,1,2024-11-14,11:04:38.789662
3.24,9.09,-0.97,-0.007636,-0.011999,0.007636,21.1875,-9.75,26.75,1,2024-11-14,11:04:38.945093
3.21,9.12,-1.0,-0.025089,-0.041452,0.029452,20.375,-9.5,26.375,1,2024-11-14,11:04:39.182239
3.25,9.16,-1.0,-0.002182,-0.037088,0.029452,21.875,-9.75,26.0625,1,2024-11-14,11:04:39.321520
3.29,9.08,-0.99,-0.029452,-0.061087,0.033816,21.5,-10.875,26.0625,1,2024-11-14,11:04:39.336511
3.38,9.03,-0.97,-0.025089,-0.042542,0.032725,21.5,-10.875,24.875,1,2024-11-14,11:04:39.539396
